Mes,cliente_id,sku,Unidades_Sell_In,Unidades_Sell_Out,Unidades_Inicial,Kilos_Inicial,Inventario_Anterior,Variacion_Inventario,Unidades_Inventario_Final,Kilos_Inventario_Final,DOH,Estado_Abastecimiento
2025-01,C001,110101,126,183,97.0,14.549999999999999,97.0,-57.0,40.0,6.0,6.557377049180328,🟢 Bien
2025-02,C001,110101,154,158,97.0,14.549999999999999,40.0,-4.0,36.0,5.4,6.8354430379746836,🟢 Bien
2025-03,C001,110101,206,167,97.0,14.549999999999999,36.0,39.0,75.0,11.25,13.47305389221557,🟡 Sobre
2025-04,C001,110101,259,176,97.0,14.549999999999999,75.0,83.0,158.0,23.7,26.93181818181818,🟡 Sobre
2025-05,C001,110101,144,186,97.0,14.549999999999999,158.0,-42.0,116.0,17.4,18.70967741935484,🟡 Sobre
2025-06,C001,110101,212,162,97.0,14.549999999999999,116.0,50.0,166.0,24.9,30.740740740740744,🟡 Sobre
2025-07,C001,110101,190,188,97.0,14.549999999999999,166.0,2.0,168.0,25.2,26.80851063829787,🟡 Sobre
2025-08,C001,110101,137,189,97.0,14.549999999999999,168.0,-52.0,116.0,17.4,18.41269841269841,🟡 Sobre
2025-09,C001,110101,193,183,97.0,14.549999999999999,116.0,10.0,126.0,18.9,20.65573770491803,🟡 Sobre
2025-10,C001,110101,213,196,97.0,14.549999999999999,126.0,17.0,143.0,21.45,21.887755102040817,🟡 Sobre
2025-11,C001,110101,218,216,97.0,14.549999999999999,143.0,2.0,145.0,21.75,20.13888888888889,🟡 Sobre
2025-12,C001,110101,266,260,97.0,14.549999999999999,145.0,6.0,151.0,22.65,17.423076923076923,🟡 Sobre
2025-01,C001,110102,138,182,87.0,13.049999999999999,87.0,-44.0,43.0,6.449999999999999,7.087912087912088,🟡 Sobre
2025-02,C001,110102,218,161,87.0,13.049999999999999,43.0,57.0,100.0,14.999999999999998,18.633540372670804,🟡 Sobre
2025-03,C001,110102,191,182,87.0,13.049999999999999,100.0,9.0,109.0,16.349999999999998,17.967032967032967,🟡 Sobre
2025-04,C001,110102,126,195,87.0,13.049999999999999,109.0,-69.0,40.0,5.999999999999998,6.153846153846153,🟢 Bien
2025-05,C001,110102,204,192,87.0,13.049999999999999,40.0,12.0,52.0,7.799999999999998,8.125,🟡 Sobre
2025-06,C001,110102,224,213,87.0,13.049999999999999,52.0,11.0,63.0,9.449999999999998,8.873239436619718,🟡 Sobre
2025-07,C001,110102,214,210,87.0,13.049999999999999,63.0,4.0,67.0,10.049999999999997,9.571428571428571,🟡 Sobre
2025-08,C001,110102,225,221,87.0,13.049999999999999,67.0,4.0,71.0,10.649999999999997,9.638009049773757,🟡 Sobre
2025-09,C001,110102,213,193,87.0,13.049999999999999,71.0,20.0,91.0,13.649999999999997,14.145077720207254,🟡 Sobre
2025-10,C001,110102,230,226,87.0,13.049999999999999,91.0,4.0,95.0,14.249999999999996,12.610619469026549,🟡 Sobre
2025-11,C001,110102,249,232,87.0,13.049999999999999,95.0,17.0,112.0,16.799999999999997,14.482758620689657,🟡 Sobre
2025-12,C001,110102,280,292,87.0,13.049999999999999,112.0,-12.0,100.0,14.999999999999996,10.273972602739725,🟡 Sobre
2025-01,C001,110103,187,191,102.0,15.299999999999999,102.0,-4.0,98.0,14.7,15.392670157068062,🟡 Sobre
2025-02,C001,110103,139,158,102.0,15.299999999999999,98.0,-19.0,79.0,11.85,15.0,🟡 Sobre
2025-03,C001,110103,195,170,102.0,15.299999999999999,79.0,25.0,104.0,15.6,18.35294117647059,🟡 Sobre
2025-04,C001,110103,145,194,102.0,15.299999999999999,104.0,-49.0,55.0,8.25,8.505154639175258,🟡 Sobre
2025-05,C001,110103,217,183,102.0,15.299999999999999,55.0,34.0,89.0,13.35,14.59016393442623,🟡 Sobre
2025-06,C001,110103,207,188,102.0,15.299999999999999,89.0,19.0,108.0,16.2,17.23404255319149,🟡 Sobre
2025-07,C001,110103,137,193,102.0,15.299999999999999,108.0,-56.0,52.0,7.799999999999999,8.082901554404145,🟡 Sobre
2025-08,C001,110103,233,220,102.0,15.299999999999999,52.0,13.0,65.0,9.749999999999998,8.863636363636363,🟡 Sobre
2025-09,C001,110103,229,184,102.0,15.299999999999999,65.0,45.0,110.0,16.5,17.934782608695652,🟡 Sobre
2025-10,C001,110103,160,215,102.0,15.299999999999999,110.0,-55.0,55.0,8.25,7.674418604651163,🟡 Sobre
2025-11,C001,110103,259,234,102.0,15.299999999999999,55.0,25.0,80.0,12.0,10.256410256410257,🟡 Sobre
2025-12,C001,110103,293,291,102.0,15.299999999999999,80.0,2.0,82.0,12.3,8.45360824742268,🟡 Sobre
2025-01,C001,110104,204,192,84.0,12.6,84.0,12.0,96.0,14.399999999999999,15.0,🟡 Sobre
2025-02,C001,110104,148,173,84.0,12.6,96.0,-25.0,71.0,10.649999999999999,12.3121387283237,🟡 Sobre
2025-03,C001,110104,207,177,84.0,12.6,71.0,30.0,101.0,15.149999999999999,17.11864406779661,🟡 Sobre
2025-04,C001,110104,139,189,84.0,12.6,101.0,-50.0,51.0,7.649999999999999,8.095238095238095,🟡 Sobre
2025-05,C001,110104,207,186,84.0,12.6,51.0,21.0,72.0,10.799999999999999,11.612903225806452,🟡 Sobre
2025-06,C001,110104,197,192,84.0,12.6,72.0,5.0,77.0,11.549999999999999,12.03125,🟡 Sobre
2025-07,C001,110104,202,188,84.0,12.6,77.0,14.0,91.0,13.649999999999999,14.52127659574468,🟡 Sobre
2025-08,C001,110104,201,202,84.0,12.6,91.0,-1.0,90.0,13.499999999999998,13.366336633663366,🟡 Sobre
2025-09,C001,110104,207,196,84.0,12.6,90.0,11.0,101.0,15.149999999999999,15.459183673469386,🟡 Sobre
2025-10,C001,110104,203,200,84.0,12.6,101.0,3.0,104.0,15.599999999999998,15.600000000000001,🟡 Sobre
2025-11,C001,110104,186,215,84.0,12.6,104.0,-29.0,75.0,11.249999999999998,10.465116279069768,🟡 Sobre
2025-12,C001,110104,275,253,84.0,12.6,75.0,22.0,97.0,14.549999999999997,11.50197628458498,🟡 Sobre
