fecha_factura,trimestre,cliente_id,sku,unidades_vendidas,kilos_vendidos,kilos_vendidos_calculados,valor_venta,responsable_comercial,comentario,archivo_origen,Mes
2025-01-01,1,C017,900101,2,0.16,0.16,15270,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-01,1,C017,110108,2,0.3,0.3,23540,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-01,1,C017,900103,3,0.24,0.24,24940,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-03,1,C017,110113,2,0.5,0.5,23820,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-03,1,C017,300102,3,N/A,0.69,22130,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-04,1,C015,110113,13,3.25,3.25,152860,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C014,130103,83,23.904,23.9,524310,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,300102,2,0.46,0.46,14500,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C003,300101,60,13.8,13.8,403930,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C014,300102,48,11.04,11.04,347870,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C003,130103,66,19.008,19.01,402820,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C016,110113,35,8.75,8.75,419750,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C003,130101,87,13.05,13.05,379960,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C003,110113,44,11.0,11.0,516020,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C001,900101,59,4.72,4.72,445830,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C016,110103,33,4.95,4.95,361130,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C014,120101,86,21.5,21.5,653160,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C016,110114,33,8.25,8.25,611010,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C016,900104,38,3.04,3.04,262630,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C002,110103,40,6.0,6.0,437560,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C014,110112,72,7.2,7.2,379740,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
