fecha_factura,semestre,cliente_id,sku,unidades_vendidas,kilos_vendidos,kilos_vendidos_calculados,valor_venta,archivo_origen,Mes
2025-01-01,1,C001,110101,3,0.45,0.45,44890,POS_SHARE_H1,2025-01
2025-01-02,1,C001,110101,8,1.2,1.2,114190,POS_SHARE_H1,2025-01
2025-01-03,1,C001,110101,5,0.75,0.75,74650,POS_SHARE_H1,2025-01
2025-01-04,1,C001,110101,10,1.5,1.5,146700,POS_SHARE_H1,2025-01
2025-01-05,1,C001,110101,8,1.2,1.2,115750,POS_SHARE_H1,2025-01
2025-01-06,1,C001,110101,12,1.8,1.8,176110,POS_SHARE_H1,2025-01
2025-01-07,1,C001,110101,4,0.6,0.6,57130,POS_SHARE_H1,2025-01
2025-01-08,1,C001,110101,5,0.75,0.75,71590,POS_SHARE_H1,2025-01
2025-01-09,1,C001,110101,8,1.2,1.2,116600,POS_SHARE_H1,2025-01
2025-01-10,1,C001,110101,6,0.9,0.9,87930,POS_SHARE_H1,2025-01
2025-01-11,1,C001,110101,10,1.5,1.5,143400,POS_SHARE_H1,2025-01
2025-01-12,1,C001,110101,3,0.45,0.45,42980,POS_SHARE_H1,2025-01
2025-01-13,1,C001,110101,5,0.75,0.75,71440,POS_SHARE_H1,2025-01
2025-01-14,1,C001,110101,5,0.75,0.75,73610,POS_SHARE_H1,2025-01
2025-01-15,1,C001,110101,8,1.2,1.2,119640,POS_SHARE_H1,2025-01
2025-01-16,1,C001,110101,2,0.3,0.3,28540,POS_SHARE_H1,2025-01
2025-01-17,1,C001,110101,4,0.6,0.6,59390,POS_SHARE_H1,2025-01
2025-01-18,1,C001,110101,7,1.05,1.05,103610,POS_SHARE_H1,2025-01
2025-01-19,1,C001,110101,10,1.5,1.5,149120,POS_SHARE_H1,2025-01
2025-01-20,1,C001,110101,4,0.6,0.6,59660,POS_SHARE_H1,2025-01
2025-01-21,1,C001,110101,9,1.35,1.35,133470,POS_SHARE_H1,2025-01
2025-01-22,1,C001,110101,3,0.45,0.45,44700,POS_SHARE_H1,2025-01
2025-01-23,1,C001,110101,4,0.6,0.6,57270,POS_SHARE_H1,2025-01
2025-01-24,1,C001,110101,4,0.6,0.6,59890,POS_SHARE_H1,2025-01
2025-01-25,1,C001,110101,9,1.35,1.35,134230,POS_SHARE_H1,2025-01
2025-01-26,1,C001,110101,1,0.15,0.15,14600,POS_SHARE_H1,2025-01
2025-01-27,1,C001,110101,2,0.3,0.3,29600,POS_SHARE_H1,2025-01
2025-01-28,1,C001,110101,6,0.9,0.9,89770,POS_SHARE_H1,2025-01
2025-01-29,1,C001,110101,7,1.05,1.05,103330,POS_SHARE_H1,2025-01
2025-01-30,1,C001,110101,6,0.9,0.9,87520,POS_SHARE_H1,2025-01
2025-01-31,1,C001,110101,5,0.75,0.75,74820,POS_SHARE_H1,2025-01
2025-02-01,1,C001,110101,14,2.1,2.1,199850,POS_SHARE_H1,2025-02
2025-02-02,1,C001,110101,8,1.2,1.2,116460,POS_SHARE_H1,2025-02
2025-02-03,1,C001,110101,9,1.35,1.35,131250,POS_SHARE_H1,2025-02
2025-02-04,1,C001,110101,5,0.75,0.75,73720,POS_SHARE_H1,2025-02
2025-02-05,1,C001,110101,8,1.2,1.2,118440,POS_SHARE_H1,2025-02
2025-02-06,1,C001,110101,3,0.45,0.45,43530,POS_SHARE_H1,2025-02
2025-02-07,1,C001,110101,10,1.5,1.5,149290,POS_SHARE_H1,2025-02
2025-02-08,1,C001,110101,7,1.05,1.05,100440,POS_SHARE_H1,2025-02
2025-02-09,1,C001,110101,2,0.3,0.3,28780,POS_SHARE_H1,2025-02
2025-02-10,1,C001,110101,5,0.75,0.75,71890,POS_SHARE_H1,2025-02
2025-02-11,1,C001,110101,2,0.3,0.3,29180,POS_SHARE_H1,2025-02
2025-02-12,1,C001,110101,3,0.45,0.45,44510,POS_SHARE_H1,2025-02
2025-02-13,1,C001,110101,4,0.6,0.6,59370,POS_SHARE_H1,2025-02
2025-02-14,1,C001,110101,6,0.9,0.9,88790,POS_SHARE_H1,2025-02
2025-02-15,1,C001,110101,6,0.9,0.9,87860,POS_SHARE_H1,2025-02
2025-02-16,1,C001,110101,2,0.3,0.3,28980,POS_SHARE_H1,2025-02
2025-02-17,1,C001,110101,6,0.9,0.9,85910,POS_SHARE_H1,2025-02
2025-02-18,1,C001,110101,4,0.6,0.6,58900,POS_SHARE_H1,2025-02
2025-02-19,1,C001,110101,5,0.75,0.75,72170,POS_SHARE_H1,2025-02
2025-02-20,1,C001,110101,4,0.6,0.6,58550,POS_SHARE_H1,2025-02
2025-02-21,1,C001,110101,7,1.05,1.05,103190,POS_SHARE_H1,2025-02
2025-02-22,1,C001,110101,8,1.2,1.2,114710,POS_SHARE_H1,2025-02
2025-02-23,1,C001,110101,4,0.6,0.6,57170,POS_SHARE_H1,2025-02
2025-02-24,1,C001,110101,1,0.15,0.15,14980,POS_SHARE_H1,2025-02
2025-02-25,1,C001,110101,7,1.05,1.05,104520,POS_SHARE_H1,2025-02
2025-02-26,1,C001,110101,5,0.75,0.75,73970,POS_SHARE_H1,2025-02
2025-02-27,1,C001,110101,4,0.6,0.6,57500,POS_SHARE_H1,2025-02
2025-02-28,1,C001,110101,9,1.35,1.35,133190,POS_SHARE_H1,2025-02
2025-03-01,1,C001,110101,9,1.35,1.35,129210,POS_SHARE_H1,2025-03
2025-03-02,1,C001,110101,6,0.9,0.9,88780,POS_SHARE_H1,2025-03
2025-03-03,1,C001,110101,5,0.75,0.75,74360,POS_SHARE_H1,2025-03
2025-03-04,1,C001,110101,7,1.05,1.05,101070,POS_SHARE_H1,2025-03
2025-03-05,1,C001,110101,6,0.9,0.9,88090,POS_SHARE_H1,2025-03
2025-03-06,1,C001,110101,6,0.9,0.9,88620,POS_SHARE_H1,2025-03
2025-03-07,1,C001,110101,9,1.35,1.35,129120,POS_SHARE_H1,2025-03
2025-03-08,1,C001,110101,7,N/A,1.05,101490,POS_SHARE_H1,2025-03
2025-03-09,1,C001,110101,6,0.9,0.9,87510,POS_SHARE_H1,2025-03
2025-03-10,1,C001,110101,5,0.75,0.75,73580,POS_SHARE_H1,2025-03
2025-03-11,1,C001,110101,4,0.6,0.6,57270,POS_SHARE_H1,2025-03
2025-03-12,1,C001,110101,6,0.9,0.9,86360,POS_SHARE_H1,2025-03
2025-03-13,1,C001,110101,4,0.6,0.6,58550,POS_SHARE_H1,2025-03
2025-03-14,1,C001,110101,6,0.9,0.9,88340,POS_SHARE_H1,2025-03
2025-03-15,1,C001,110101,4,0.6,0.6,57670,POS_SHARE_H1,2025-03
2025-03-16,1,C001,110101,2,0.3,0.3,29670,POS_SHARE_H1,2025-03
2025-03-17,1,C001,110101,3,0.45,0.45,44340,POS_SHARE_H1,2025-03
2025-03-18,1,C001,110101,6,0.9,0.9,85910,POS_SHARE_H1,2025-03
2025-03-19,1,C001,110101,1,0.15,0.15,14680,POS_SHARE_H1,2025-03
2025-03-20,1,C001,110101,6,0.9,0.9,88260,POS_SHARE_H1,2025-03
2025-03-21,1,C001,110101,9,1.35,1.35,131080,POS_SHARE_H1,2025-03
2025-03-22,1,C001,110101,4,0.6,0.6,59450,POS_SHARE_H1,2025-03
2025-03-23,1,C001,110101,3,0.45,0.45,44760,POS_SHARE_H1,2025-03
2025-03-24,1,C001,110101,5,0.75,0.75,71320,POS_SHARE_H1,2025-03
2025-03-25,1,C001,110101,8,1.2,1.2,117060,POS_SHARE_H1,2025-03
